Name,FTF,BSF,BPFO,BPFI
16001,0.38,2.04,3.07,4.93
16002,0.4,2.37,3.59,5.41
16003,0.39,2.24,3.15,4.85
16004,0.41,2.77,4.12,5.88
16005,0.42,3.17,4.65,6.35
16006,0.43,3.27,5.1,6.9
16007,0.43,3.75,5.65,7.35
16008,0.44,4.19,6.62,8.38
16009,0.45,4.67,7.15,8.85
16010,0.45,5.07,7.67,9.33
16011,0.45,4.52,6.68,8.32
16012,0.45,4.84,7.63,9.37
16013,0.45,5.16,8.14,9.86
16014,0.45,5.12,8.13,9.87
16015,0.45,5.41,8.63,10.37
16016,0.46,5.84,9.15,10.85
16017,0.46,6.13,9.65,11.35
16018,0.46,5.53,8.65,10.35
16019,0.46,5.77,9.14,10.86
16020,0.46,6.02,9.63,11.37
16021,0.45,4.86,7.63,9.37
16022,0.45,4.85,7.63,9.37
16024,0.45,4.93,7.65,9.35
16026,0.45,4.67,7.15,8.85
16028,0.45,4.96,7.65,9.35
16030,0.45,4.88,7.64,9.36
16032,0.45,5.21,8.14,9.86
16034,0.45,4.97,7.65,9.35
16036,0.46,5.53,8.65,10.35
16038,0.45,5.36,8.62,10.38
16040,0.45,5.31,7.71,9.29
16044,0.45,5.14,8.13,9.87
16048,0.46,5.52,8.19,9.81
16052,0.45,5.15,8.13,9.87
16056,0.45,5.47,8.64,10.36
16060,0.45,4.74,7.16,8.84
16064,0.45,4.99,7.66,9.34
16068,0.45,4.79,7.17,8.83
16072,0.45,5.01,7.66,9.34
6000,0.37,1.74,2.57,4.44
6001,0.38,2.04,3.07,4.93
6002,0.4,2.37,3.59,5.41
6003,0.39,2.24,3.15,4.85
6004,0.4,2.38,3.59,5.41
60/22,0.4,2.5,3.63,5.37
6005,0.41,2.75,4.12,5.88
60/28,0.41,2.71,4.11,5.89
6006,0.42,2.93,4.59,6.41
60/32,0.41,2.75,4.12,5.88
6007,0.42,2.98,4.6,6.4
6008,0.43,3.33,5.12,6.88
6009,0.43,3.37,5.56,7.44
6010,0.43,3.66,6.06,7.94
6011,0.43,3.44,5.58,7.42
6012,0.43,3.69,6.07,7.93
6013,0.44,3.94,6.56,8.44
6014,0.43,3.72,6.08,7.92
6015,0.44,3.93,6.56,8.44
6016,0.43,3.73,6.08,7.92
6017,0.44,3.92,6.56,8.44
6018,0.43,3.75,6.08,7.92
6019,0.44,3.92,6.56,8.44
6020,0.44,4.09,6.6,8.4
6021,0.44,3.91,6.56,8.44
6022,0.43,3.77,6.09,7.91
6024,0.44,4.05,6.59,8.41
6026,0.44,3.94,6.56,8.44
6028,0.44,4.18,7.06,8.94
6030,0.44,4.16,7.05,8.95
6032,0.44,4.14,7.05,8.95
6034,0.44,3.92,6.56,8.44
6036,0.43,3.75,6.08,7.92
6038,0.44,3.92,6.56,8.44
6040,0.43,3.76,6.09,7.91
6044,0.44,3.95,6.57,8.43
6048,0.44,4.24,7.07,8.93
6052,0.44,3.93,6.12,7.88
6056,0.43,3.61,5.18,6.82
6060,0.43,3.67,5.2,6.8
6064,0.44,3.87,5.67,7.33
6068,0.43,3.7,5.2,6.8
6072,0.44,3.87,5.67,7.33
6076,0.44,4.05,6.15,7.85
